Catalog_number	Tissue_number	BC_genetic_cluster_assignment	CC_genetic_cluster_assignment	DecimalLongitude	DecimalLatitude	Sampling_period	Location_code	Included_in_tess3r	Sex	Wing	Tail	Weight	Comments_on_measurements	Specific_locality	County	State	Remarks	Gonads	Molt	Day	Month	Year	Macaulay_Library_catalog	Song_summary	PC1	Hybrid_Index
132070	32598	0.002	0.998	-94.1033	38.0477	MODERN	39	YES	female	NA		11		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri	"with male, who was not collected, but was audio recorded (audio ref #: MBR-MO-2016-044, original cuts 85 & 87)"	"lg. ovum 2 x 2 mm, oviduct 2 mm & slightly convoluted"	no	5	Apr	2016			8.596575639	0.6756
132071	32604	0.001	0.999	-94.1033	38.0441	MODERN	42	YES	male	NA		11.2		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri		"testes 7.5 x 5 mm, seminal vesicles enlarged"	"outer rectrix on right side only, no molt elsewhere"	5	Apr	2016			7.63855926	0.697
132072	32603	0	1	-94.1011	38.047	MODERN	40	YES	male	NA		11		"Schell-Osage Conservation Area, northwest section"	Vernon	Missouri		"testes 9 x 5 mm, seminal vesciles enlarged"	no	5	Apr	2016	523587	PURECC	9.034296767	0.7036
132073	32593	0.9942	0.0058	-94.2187	38.1737	MODERN	7	NO	male	NA		12.3		"Pleasant Gap, west of"	Bates	Missouri		"testes 7 x 5 mm, seminal vesicles enlarged"	no	28	Apr	2016			-9.988241583	0.2818
132074	32591	0.9982	0.0018	-94.1942	38.1713	MODERN	9	NO	male	NA		12.2		"Pleasant Gap, west of"	Bates	Missouri	with KU 132075	"testes 8 x 6 mm, seminal vesicles enlarged"	no	28	Apr	2016	523629	PUREBC	-6.78415185	0.3055
132075	32592	0.025	0.975	-94.1942	38.1713	MODERN	9	NO	female	NA		11.9		"Pleasant Gap, west of"	Bates	Missouri	with KU 132074	"unshelled egg in oviduct, lg. ovum 8 x 8 mm"	no	28	Apr	2016			6.1503072	0.6248
132076	32608	0.5158	0.4842	-94.2007	38.1717	MODERN	8	NO	male	NA		11		"Pleasant Gap, west of"	Bates	Missouri	with KU 132077	"testes 8 x 5 mm, seminal vesicles enlarged"	no	28	Apr	2016			-1.999815542	0.4503
132077	32607	0.999	0.001	-94.2007	38.1717	MODERN	8	NO	female	NA		11.9		"Pleasant Gap, west of"	Bates	Missouri	with KU 132076	"ovary mass 5 x 3 mm, ova < 1 mm, oviduct straight, developing brood patch"	no	28	Apr	2016			-9.103707917	0.2545
132078	32595	0.999	0.001	-94.2072	38.1764	MODERN	5	NO	male	NA		13.3		"Pleasant Gap, west of"	Bates	Missouri	with KU 132079	"testes 6.5 x 4.5 mm, seminal vesicles enlarged"	no	28	Apr	2016	523630	PUREBC	-8.968278011	0.2711
132079	32596	0.999	0.001	-94.2072	38.1764	MODERN	5	NO	female	NA		13.3		"Pleasant Gap, west of"	Bates	Missouri	with KU 132078	unshelled egg in oviduct	no	28	Apr	2016			-9.096739272	0.3184
132080	32594	0.939	0.061	-94.2011	38.1827	MODERN	6	NO	male	NA		12.3		"Pleasant Gap, west of"	Bates	Missouri		"testes 9 x 5.5 mm, seminal vesicles enlarged"		28	Apr	2016			-7.262995866	0.3277
132081	32576	0.001	0.999	-94.154	38.0771	MODERN	16	NO	male	NA		10.5		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132086 in riparian woodland strip	"testes 7.5 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523592	PUREBC_ABERRANT	7.643447113	0.6784
132082	32577	0.0092	0.9908	-94.154	38.0771	MODERN	16	NO	male	NA		11.8		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri		"testes 9 x 6 mm, seminal vesicles enlarged"	no	8	Apr	2016	523590	BOTH	6.485050444	0.6506
132083	32572	0.6372	0.3628	-94.154	38.0771	MODERN	16	NO	female	NA		10.3		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132084	not found	"outer 2 trectrices on right side of tail, very light molt on neck"	8	Apr	2016			-2.278160659	0.4583
132084	32573	0.9334	0.0666	-94.154	38.0771	MODERN	16	NO	male	NA		14		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132083	"testes 8 x 5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523589	BOTH	-9.336754906	0.2843
132085	32566	0.002	0.998	-94.154	38.0771	MODERN	16	NO	male	NA		10.3		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri		"testes 8.5 x 5.5 mm, seminal vesicles enlarged"	no	8	Apr	2016	523591	BOTH	4.119285201	0.6707
132086	32575	0.0024	0.9976	-94.154	38.0771	MODERN	16	NO	female	NA		11.1		"Rockville, 4.1 miles west (east of Prairie City)"	Bates	Missouri	with KU 132081	oviduct 3 mm in diameter & convoluted; 1 collasped ovum; lg. ovum 3 x 3 mm		8	Apr	2016			8.133750902	0.6535
132087	32556	0.525	0.475	-94.0863	38.1168	MODERN	34	YES	male	NA		12.1		"Rockville, 3.2 miles north"	Bates	Missouri		"testes 9 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523601	PURECC	0.246391893	0.4626
132088	32559	0.001	0.999	-94.0858	38.1178	MODERN	35	YES	male	NA		11.6		"Rockville, 3.2 miles north"	Bates	Missouri	with KU 132089	"testes 8 x 5 mm, seminal vesicles enlarged"	no	9	Apr	2016	523603	PURECC	9.316788451	0.6781
